Week,Category,Working Title,Question Number,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Answer Explanation / Fun Fact,Source / Fact-Check Notes,Publish Status,Editor Notes
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words",2,"Which poet wrote ""Leaves of Grass""?",Emily Dickinson,Walt Whitman,Robert Frost,Langston Hughes,B. Walt Whitman,"Walt Whitman's ""Leaves of Grass"" became a landmark in American poetry.",Verify with Library of Congress.,Drafted - needs final fact-check,
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words",3,"Who wrote ""The Raven""?",Edgar Allan Poe,Herman Melville,Henry James,Stephen Crane,A. Edgar Allan Poe,"Edgar Allan Poe's poem ""The Raven"" was published in 1845.",Verify with Poetry Foundation; Library of Congress.,Drafted - needs final fact-check,
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words",4,"Which American novel begins with the line ""Call me Ishmael""?",Moby-Dick,The Scarlet Letter,The Great Gatsby,Invisible Man,A. Moby-Dick,"Herman Melville's ""Moby-Dick"" opens with the famous sentence.",Verify with Library of Congress.,Drafted - needs final fact-check,
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words",5,"Who wrote ""The Great Gatsby""?",F. Scott Fitzgerald,John Steinbeck,William Faulkner,Sinclair Lewis,A. F. Scott Fitzgerald,F. Scott Fitzgerald's novel is a classic portrait of the Jazz Age.,Verify with Library of Congress.,Drafted - needs final fact-check,
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words",6,"Who wrote ""To Kill a Mockingbird""?",Harper Lee,Flannery O'Connor,Toni Morrison,Willa Cather,A. Harper Lee,Harper Lee's novel won the Pulitzer Prize for fiction.,Verify with Pulitzer Prize records; Library of Congress.,Drafted - needs final fact-check,
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words",7,"Which author wrote ""The Grapes of Wrath""?",John Steinbeck,Ernest Hemingway,Jack London,Upton Sinclair,A. John Steinbeck,John Steinbeck's novel follows a Dust Bowl family during the Great Depression.,Verify with Nobel Prize biography; Library of Congress.,Drafted - needs final fact-check,
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words",8,"Who wrote the memoir ""I Know Why the Caged Bird Sings""?",Maya Angelou,Zora Neale Hurston,Alice Walker,Gwendolyn Brooks,A. Maya Angelou,Maya Angelou's memoir became a major work of American literature.,Verify with Library of Congress.,Drafted - needs final fact-check,
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words",9,"Which Harlem Renaissance poet wrote ""The Negro Speaks of Rivers""?",Langston Hughes,Countee Cullen,Claude McKay,James Weldon Johnson,A. Langston Hughes,Langston Hughes published the poem early in his career and became a leading Harlem Renaissance figure.,Verify with Poetry Foundation; Library of Congress.,Drafted - needs final fact-check,
18,Literature,"America 250 Quiz: Test yourself on authors, novels and American words",10,"Who wrote ""Beloved""?",Toni Morrison,Alice Walker,Ralph Ellison,James Baldwin,A. Toni Morrison,"Toni Morrison's ""Beloved"" won the Pulitzer Prize for fiction.",Verify with Pulitzer Prize records; Nobel Prize biography.,Drafted - needs final fact-check,
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars",1,Which city neighborhood is famous as the center of the American movie industry?,Hollywood,Broadway,SoHo,French Quarter,A. Hollywood,Hollywood in Los Angeles became a symbol of the U.S. film industry.,Verify with Academy Museum; local history sources.,Drafted - needs final fact-check,
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars",2,"Which film won the first Academy Award for Best Picture, then called Outstanding Picture?",Wings,Sunrise,The Jazz Singer,Metropolis,A. Wings,"""Wings"" won the top award at the first Academy Awards.",Verify with Academy of Motion Picture Arts and Sciences.,Drafted - needs final fact-check,
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars",3,"Which 1927 film is famous as an early feature-length ""talkie""?",The Jazz Singer,Citizen Kane,Gone with the Wind,King Kong,A. The Jazz Singer,"""The Jazz Singer"" helped popularize synchronized sound in feature films.",Verify with Library of Congress; Academy Museum.,Drafted - needs final fact-check,
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars",4,Which television show featured Lucille Ball as Lucy Ricardo?,I Love Lucy,The Mary Tyler Moore Show,The Honeymooners,Bewitched,A. I Love Lucy,"""I Love Lucy"" became one of the most influential sitcoms in television history.",Verify with Paley Center; Library of Congress.,Drafted - needs final fact-check,
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars",5,Which awards honor excellence in television?,Oscars,Emmys,Tonys,Grammys,B. Emmys,The Emmy Awards recognize television programming and performance.,Verify with Television Academy.,Drafted - needs final fact-check,
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars",6,Which awards honor Broadway theater?,Tonys,Grammys,Emmys,Pulitzers,A. Tonys,The Tony Awards recognize achievement in Broadway theater.,Verify with Tony Awards.,Drafted - needs final fact-check,
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars",7,"Which film features the line ""May the Force be with you""?",Star Wars,Jaws,Rocky,E.T.,A. Star Wars,"""Star Wars"" became a major American pop-culture phenomenon after its 1977 release.",Verify with Lucasfilm; Library of Congress National Film Registry.,Drafted - needs final fact-check,
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars",8,"Which theme park opened in Anaheim, California, in 1955?",Disneyland,Universal Studios Florida,Six Flags Over Texas,Dollywood,A. Disneyland,Disneyland opened in Anaheim in July 1955.,Verify with Disney history resources.,Drafted - needs final fact-check,
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars",9,"Which American film is associated with the line ""There's no place like home""?",The Wizard of Oz,Casablanca,It's a Wonderful Life,Singin' in the Rain,A. The Wizard of Oz,"The line is associated with Dorothy in the 1939 film ""The Wizard of Oz.""",Verify with Library of Congress National Film Registry.,Drafted - needs final fact-check,
19,Hollywood and Entertainment,"America 250 Quiz: Test yourself on movies, TV and American stars",10,Which music awards show is presented by the Recording Academy?,Grammys,Oscars,Emmys,Tonys,A. Grammys,The Grammy Awards honor achievements in recorded music.,Verify with Recording Academy.,Drafted - needs final fact-check,
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames",1,What is the capital of California?,Los Angeles,San Francisco,Sacramento,San Diego,C. Sacramento,Sacramento is the capital of California.,Verify with California state government.,Drafted - needs final fact-check,
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames",2,Which state is known as the Sunshine State?,Arizona,Florida,California,Hawaii,B. Florida,Florida is widely known as the Sunshine State.,Verify with Florida state government/tourism.,Drafted - needs final fact-check,
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames",3,What is the capital of Texas?,Dallas,Houston,Austin,San Antonio,C. Austin,Austin is the capital of Texas.,Verify with Texas state government.,Drafted - needs final fact-check,
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames",4,Which state was the 50th to join the Union?,Alaska,Arizona,Hawaii,New Mexico,C. Hawaii,Hawaii became the 50th state in 1959.,Verify with National Archives.,Drafted - needs final fact-check,
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames",5,What is the capital of New York?,New York City,Albany,Buffalo,Syracuse,B. Albany,Albany is the capital of New York.,Verify with New York state government.,Drafted - needs final fact-check,
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames",6,Which state is known as the Last Frontier?,Montana,Alaska,Wyoming,North Dakota,B. Alaska,Alaska is commonly known as the Last Frontier.,Verify with Alaska state government/tourism.,Drafted - needs final fact-check,
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames",7,What is the capital of Illinois?,Chicago,Springfield,Peoria,Rockford,B. Springfield,Springfield is the capital of Illinois.,Verify with Illinois state government.,Drafted - needs final fact-check,
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames",8,Which state is known as the Peach State?,Georgia,South Carolina,Alabama,Tennessee,A. Georgia,Georgia is widely known as the Peach State.,Verify with Georgia state government/tourism.,Drafted - needs final fact-check,
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames",9,What is the capital of Pennsylvania?,Philadelphia,Pittsburgh,Harrisburg,Lancaster,C. Harrisburg,Harrisburg is the capital of Pennsylvania.,Verify with Pennsylvania state government.,Drafted - needs final fact-check,
20,States and Capitals,"America 250 Quiz: Test yourself on states, capitals and quirky nicknames",10,Which state has the postal abbreviation AZ?,Arkansas,Arizona,Alaska,Alabama,B. Arizona,AZ is the U.S. Postal Service abbreviation for Arizona.,Verify with USPS.,Drafted - needs final fact-check,
21,Famous Speeches,America 250 Quiz: Test yourself on words that moved America,1,Who delivered the Gettysburg Address?,Abraham Lincoln,Frederick Douglass,Woodrow Wilson,Theodore Roosevelt,A. Abraham Lincoln,Lincoln delivered the Gettysburg Address in November 1863.,Verify with Library of Congress; National Park Service.,Drafted - needs final fact-check,
21,Famous Speeches,America 250 Quiz: Test yourself on words that moved America,2,"Who said ""The only thing we have to fear is fear itself"" in an inaugural address?",Herbert Hoover,Franklin D. Roosevelt,Harry Truman,John F. Kennedy,B. Franklin D. Roosevelt,Franklin D. Roosevelt spoke the line in his first inaugural address in 1933.,Verify with FDR Library; National Archives.,Drafted - needs final fact-check,
21,Famous Speeches,America 250 Quiz: Test yourself on words that moved America,3,"Who said ""Ask not what your country can do for you""?",John F. Kennedy,Lyndon B. Johnson,Richard Nixon,Ronald Reagan,A. John F. Kennedy,John F. Kennedy delivered the line in his 1961 inaugural address.,Verify with JFK Library.,Drafted - needs final fact-check,
21,Famous Speeches,America 250 Quiz: Test yourself on words that moved America,4,"Who delivered the ""I Have a Dream"" speech?",Martin Luther King Jr.,Malcolm X,John Lewis,Bayard Rustin,A. Martin Luther King Jr.,King delivered the speech during the March on Washington in 1963.,Verify with National Archives; King Institute.,Drafted - needs final fact-check,
21,Famous Speeches,America 250 Quiz: Test yourself on words that moved America,5,"Which president warned against a ""military-industrial complex"" in his farewell address?",Dwight D. Eisenhower,Harry Truman,John F. Kennedy,Lyndon B. Johnson,A. Dwight D. Eisenhower,Eisenhower used the phrase in his 1961 farewell address.,Verify with Eisenhower Presidential Library.,Drafted - needs final fact-check,
21,Famous Speeches,America 250 Quiz: Test yourself on words that moved America,6,"Who delivered the ""A Date Which Will Live in Infamy"" speech?",Franklin D. Roosevelt,Woodrow Wilson,Harry Truman,Dwight D. Eisenhower,A. Franklin D. Roosevelt,FDR addressed Congress after the attack on Pearl Harbor.,Verify with FDR Library; National Archives.,Drafted - needs final fact-check,
21,Famous Speeches,America 250 Quiz: Test yourself on words that moved America,7,"Who gave the ""Cross of Gold"" speech in 1896?",William Jennings Bryan,Theodore Roosevelt,William McKinley,Eugene V. Debs,A. William Jennings Bryan,William Jennings Bryan delivered the speech at the 1896 Democratic National Convention.,Verify with Library of Congress.,Drafted - needs final fact-check,
21,Famous Speeches,America 250 Quiz: Test yourself on words that moved America,8,"Who wrote and delivered the ""What to the Slave Is the Fourth of July?"" address?",Frederick Douglass,Sojourner Truth,Harriet Tubman,Booker T. Washington,A. Frederick Douglass,"Frederick Douglass delivered the address in Rochester, New York, in 1852.",Verify with Library of Congress.,Drafted - needs final fact-check,
21,Famous Speeches,America 250 Quiz: Test yourself on words that moved America,9,"Which president said ""Mr. Gorbachev, tear down this wall""?",Ronald Reagan,George H.W. Bush,Jimmy Carter,Bill Clinton,A. Ronald Reagan,Ronald Reagan spoke near the Berlin Wall in 1987.,Verify with Reagan Library.,Drafted - needs final fact-check,
21,Famous Speeches,America 250 Quiz: Test yourself on words that moved America,10,"Who gave the ""Ich bin ein Berliner"" speech?",John F. Kennedy,Richard Nixon,Gerald Ford,Jimmy Carter,A. John F. Kennedy,JFK delivered the speech in West Berlin in 1963.,Verify with JFK Library.,Drafted - needs final fact-check,
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas",1,Who founded Ford Motor Company?,Henry Ford,Alfred Sloan,Walter Chrysler,Ransom Olds,A. Henry Ford,Henry Ford founded Ford Motor Company in 1903.,Verify with Ford corporate history; The Henry Ford.,Drafted - needs final fact-check,
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas",2,Which industrialist was closely associated with Standard Oil?,Andrew Carnegie,John D. Rockefeller,Cornelius Vanderbilt,J.P. Morgan,B. John D. Rockefeller,John D. Rockefeller built Standard Oil into a major industrial trust.,Verify with Rockefeller Archive Center; Library of Congress.,Drafted - needs final fact-check,
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas",3,Which steel magnate funded many public libraries?,Andrew Carnegie,Henry Clay Frick,Jay Gould,George Pullman,A. Andrew Carnegie,Andrew Carnegie donated money to build libraries across the United States and beyond.,Verify with Carnegie Corporation history.,Drafted - needs final fact-check,
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas",4,Which retailer began as a mail-order catalog company in the late 19th century?,Sears,Target,Walmart,Costco,A. Sears,"Sears, Roebuck and Co. became famous for its mail-order catalog.",Verify with Sears archives; Smithsonian.,Drafted - needs final fact-check,
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas",5,Which company introduced the iPhone in 2007?,Microsoft,Apple,IBM,Google,B. Apple,Apple introduced the iPhone in 2007.,Verify with Apple press archive.,Drafted - needs final fact-check,
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas",6,Which American company was founded by Sam Walton?,Walmart,Home Depot,Kroger,Best Buy,A. Walmart,"Sam Walton founded Walmart, which grew from stores in Arkansas.",Verify with Walmart corporate history.,Drafted - needs final fact-check,
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas",7,Which 19th-century transportation industry made Cornelius Vanderbilt famous?,Steamboats and railroads,Automobiles,Airlines,Canals only,A. Steamboats and railroads,Vanderbilt built wealth in steamboats and later railroads.,Verify with Library of Congress; historical biographies.,Drafted - needs final fact-check,
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas",8,Which stock market crash helped trigger the Great Depression?,Crash of 1929,Crash of 1987,Dot-com crash,Panic of 1819,A. Crash of 1929,The 1929 crash was a major event at the start of the Great Depression.,Verify with Federal Reserve History.,Drafted - needs final fact-check,
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas",9,Which company is associated with the Model T automobile?,Ford,General Motors,Tesla,Studebaker,A. Ford,Ford's Model T made automobile ownership more accessible to many Americans.,Verify with The Henry Ford.,Drafted - needs final fact-check,
22,Business and Industry,"America 250 Quiz: Test yourself on entrepreneurs, brands and big ideas",10,Which fast-food chain traces its modern expansion to Ray Kroc?,McDonald's,KFC,Subway,Taco Bell,A. McDonald's,Ray Kroc helped turn McDonald's into a major national franchise system.,Verify with McDonald's corporate history.,Drafted - needs final fact-check,
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions",1,On what date is Independence Day celebrated?,June 14,July 4,September 17,November 11,B. July 4,"Independence Day is celebrated on July 4, marking the adoption of the Declaration of Independence.",Verify with National Archives.,Drafted - needs final fact-check,
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions",2,Which holiday honors people who died while serving in the U.S. military?,Veterans Day,Memorial Day,Labor Day,Flag Day,B. Memorial Day,Memorial Day honors U.S. service members who died in military service.,Verify with Department of Veterans Affairs.,Drafted - needs final fact-check,
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions",3,Which holiday honors all U.S. military veterans?,Armed Forces Day,Memorial Day,Veterans Day,Presidents Day,C. Veterans Day,Veterans Day honors those who served in the U.S. Armed Forces.,Verify with Department of Veterans Affairs.,Drafted - needs final fact-check,
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions",4,Which president issued the 1863 proclamation encouraging a national Thanksgiving observance?,George Washington,Abraham Lincoln,Ulysses S. Grant,Theodore Roosevelt,B. Abraham Lincoln,Lincoln proclaimed a national Thanksgiving observance during the Civil War.,Verify with National Archives; Library of Congress.,Drafted - needs final fact-check,
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions",5,Which date is Flag Day in the United States?,May 30,June 14,July 4,September 17,B. June 14,Flag Day is observed on June 14.,Verify with Library of Congress.,Drafted - needs final fact-check,
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions",6,Which holiday grew from labor movement campaigns for workers?,Labor Day,Columbus Day,Presidents Day,Patriot Day,A. Labor Day,Labor Day honors workers and the labor movement.,Verify with Department of Labor.,Drafted - needs final fact-check,
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions",7,Which day commemorates the end of slavery in the United States after the Civil War?,Juneteenth,Constitution Day,Flag Day,Election Day,A. Juneteenth,"Juneteenth marks June 19, 1865, when freedom was announced to enslaved people in Galveston, Texas.",Verify with National Museum of African American History and Culture.,Drafted - needs final fact-check,
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions",8,Which holiday is observed on the fourth Thursday in November?,Thanksgiving,Memorial Day,Labor Day,Election Day,A. Thanksgiving,Thanksgiving is observed on the fourth Thursday in November.,Verify with Library of Congress; federal holiday records.,Drafted - needs final fact-check,
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions",9,Which day celebrates the adoption of the U.S. Constitution?,Constitution Day,Flag Day,Bill of Rights Day,Inauguration Day,A. Constitution Day,Constitution Day is observed on Sept. 17.,Verify with National Archives.,Drafted - needs final fact-check,
23,Holidays and Traditions,"America 250 Quiz: Test yourself on parades, fireworks and national traditions",10,Which presidential holiday is commonly associated with Washington and Lincoln?,Presidents Day,Independence Day,Patriot Day,Columbus Day,A. Presidents Day,"The federal holiday is Washington's Birthday, commonly called Presidents Day by many states and businesses.",Verify with Office of Personnel Management; Library of Congress.,Drafted - needs final fact-check,
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel",1,"Which highway is nicknamed the ""Mother Road""?",Route 66,U.S. 1,Pacific Coast Highway,Blue Ridge Parkway,A. Route 66,Route 66 connected Chicago and Los Angeles and became an icon of American road travel.,Verify with National Park Service.,Drafted - needs final fact-check,
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel",2,Which president signed the law creating the Interstate Highway System?,Harry Truman,Dwight D. Eisenhower,John F. Kennedy,Lyndon B. Johnson,B. Dwight D. Eisenhower,Eisenhower signed the Federal-Aid Highway Act of 1956.,Verify with Federal Highway Administration.,Drafted - needs final fact-check,
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel",3,Which railroad was completed at Promontory Summit in 1869?,First transcontinental railroad,Erie Railroad,Pennsylvania Railroad,Baltimore and Ohio Railroad,A. First transcontinental railroad,The first transcontinental railroad was completed with a ceremonial golden spike.,Verify with National Park Service.,Drafted - needs final fact-check,
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel",4,"Which brothers made the first powered, controlled airplane flight?",Wright brothers,Boeing brothers,Douglas brothers,Curtiss brothers,A. Wright brothers,The Wright brothers flew at Kitty Hawk in 1903.,Verify with Smithsonian; National Park Service.,Drafted - needs final fact-check,
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel",5,Which New York landmark was once the world's busiest immigrant inspection station?,Grand Central Terminal,Ellis Island,Penn Station,Brooklyn Bridge,B. Ellis Island,Ellis Island processed millions of immigrants entering through New York Harbor.,Verify with National Park Service.,Drafted - needs final fact-check,
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel",6,Which bridge opened in 1883 connecting Manhattan and Brooklyn?,Golden Gate Bridge,Brooklyn Bridge,George Washington Bridge,Verrazzano-Narrows Bridge,B. Brooklyn Bridge,The Brooklyn Bridge opened in 1883 and became an engineering landmark.,Verify with Library of Congress; NYC history sources.,Drafted - needs final fact-check,
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel",7,Which California bridge opened in 1937 and became an orange-red icon?,Bay Bridge,Golden Gate Bridge,Coronado Bridge,Bixby Bridge,B. Golden Gate Bridge,The Golden Gate Bridge opened in San Francisco in 1937.,Verify with Golden Gate Bridge district history.,Drafted - needs final fact-check,
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel",8,Which famous scenic road runs through Shenandoah National Park?,Skyline Drive,Route 66,Overseas Highway,Going-to-the-Sun Road,A. Skyline Drive,Skyline Drive follows the crest of the Blue Ridge Mountains through Shenandoah National Park.,Verify with National Park Service.,Drafted - needs final fact-check,
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel",9,Which Florida highway connects many of the Florida Keys?,Overseas Highway,Blue Ridge Parkway,Natchez Trace Parkway,Lincoln Highway,A. Overseas Highway,The Overseas Highway carries U.S. 1 through the Florida Keys.,Verify with Florida transportation/history sources.,Drafted - needs final fact-check,
24,Road Trips and Transportation,"America 250 Quiz: Test yourself on highways, railroads and American travel",10,Which early transcontinental auto route was named for the 16th president?,Lincoln Highway,Dixie Highway,Santa Fe Trail,National Road,A. Lincoln Highway,The Lincoln Highway was one of the earliest transcontinental routes for automobiles.,Verify with Lincoln Highway Association; FHWA.,Drafted - needs final fact-check,
25,America 250 Finale,America 250 Quiz: Test yourself on 250 years of American history,1,Which document declared the 13 colonies independent from Britain?,Constitution,Declaration of Independence,Bill of Rights,Federalist Papers,B. Declaration of Independence,The Declaration of Independence announced the colonies' separation from Britain.,Verify with National Archives.,Drafted - needs final fact-check,
25,America 250 Finale,America 250 Quiz: Test yourself on 250 years of American history,2,"Which president is on Mount Rushmore along with Washington, Jefferson and Lincoln?",Theodore Roosevelt,Franklin D. Roosevelt,John Adams,James Madison,A. Theodore Roosevelt,"Mount Rushmore features George Washington, Thomas Jefferson, Theodore Roosevelt and Abraham Lincoln.",Verify with National Park Service.,Drafted - needs final fact-check,
25,America 250 Finale,America 250 Quiz: Test yourself on 250 years of American history,3,Which amendment protects freedom of speech?,First Amendment,Second Amendment,Fifth Amendment,Tenth Amendment,A. First Amendment,Freedom of speech is one of the protections in the First Amendment.,Verify with National Archives.,Drafted - needs final fact-check,
25,America 250 Finale,America 250 Quiz: Test yourself on 250 years of American history,4,Which city is strongly associated with jazz origins?,New Orleans,Denver,Phoenix,Portland,A. New Orleans,New Orleans is widely recognized as a birthplace of jazz.,Verify with National Park Service; Smithsonian.,Drafted - needs final fact-check,
25,America 250 Finale,America 250 Quiz: Test yourself on 250 years of American history,5,Which national park was established in 1872?,Yellowstone,Yosemite,Acadia,Zion,A. Yellowstone,Yellowstone became the first national park in 1872.,Verify with National Park Service.,Drafted - needs final fact-check,
25,America 250 Finale,America 250 Quiz: Test yourself on 250 years of American history,6,Which U.S. agency sent astronauts to the moon?,NASA,NOAA,USDA,FBI,A. NASA,NASA led the Apollo missions that landed astronauts on the moon.,Verify with NASA.,Drafted - needs final fact-check,
25,America 250 Finale,America 250 Quiz: Test yourself on 250 years of American history,7,"Which highway is the ""Mother Road""?",Route 66,Interstate 95,U.S. 50,Route 1,A. Route 66,Route 66 became a symbol of American road travel.,Verify with National Park Service.,Drafted - needs final fact-check,
25,America 250 Finale,America 250 Quiz: Test yourself on 250 years of American history,8,"Which civil rights leader delivered the ""I Have a Dream"" speech?",Martin Luther King Jr.,Frederick Douglass,Thurgood Marshall,Cesar Chavez,A. Martin Luther King Jr.,"Martin Luther King Jr. delivered the speech in Washington, D.C., in 1963.",Verify with National Archives; King Institute.,Drafted - needs final fact-check,
25,America 250 Finale,America 250 Quiz: Test yourself on 250 years of American history,9,Which invention is associated with Alexander Graham Bell?,Telephone,Cotton gin,Airplane,Light bulb,A. Telephone,Bell received a key patent for the telephone in 1876.,Verify with Smithsonian; Library of Congress.,Drafted - needs final fact-check,
25,America 250 Finale,America 250 Quiz: Test yourself on 250 years of American history,10,Which state was the 50th admitted to the Union?,Alaska,Hawaii,Arizona,Oklahoma,B. Hawaii,Hawaii became the 50th state in 1959.,Verify with National Archives.,Drafted - needs final fact-check,
